CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_C2,ns_co_N3,ns_co_N2,ns_co_C4,ns_co_O2,ns_nc_O1,ns_nc_C2,ns_nc_C1,ns_nc_C3,ns_nc_N2,ns_nc_O2,ns_nc_C4,ns_nc_N3,ns_nc_N1,ec_co_C3_C3_1,ec_co_C3_C3_2,ec_co_C2_C3_1,ec_co_C2_C2_2,ec_co_C2_N3_1,ec_co_C3_N3_1,ec_co_C2_N2_1,ec_co_C2_C3_2,ec_co_C2_C2_1,ec_co_C3_N2_1,ec_co_C3_N2_2,ec_co_C2_N2_2,ec_co_N2_N3_1,ec_co_N2_N2_2,ec_co_N2_N2_1,ec_co_C2_C4_1,ec_co_C3_C4_1,ec_co_C4_N2_1,ec_co_C3_O2_1,ec_co_N3_O2_1,ec_co_C2_O2_1,ec_co_N3_N3_1,ec_co_C4_C4_1,ec_co_C4_O2_1,ec_co_N2_O2_1,ec_co_O2_O2_1,ec_co_C4_N3_1,ec_in_N3_C2_1,ec_in_C2_C2_1,ec_in_C2_C3_1,ec_in_C3_N2_1,ec_in_C3_C2_1,ec_in_C3_N3_1,ec_in_N3_C3_1,ec_in_N2_C2_1,ec_in_C3_O2_1,ec_in_C4_C2_1,ec_in_C3_C3_1,ec_in_C2_O2_1,ec_in_O2_C3_1,ec_in_N2_C3_1,ec_in_C4_C3_1,ec_in_O2_C2_1,ec_in_C2_N2_1,ec_in_C3_N2_2,ec_in_N2_O2_1,ec_in_C2_N3_1,ec_in_C2_C2_2,ec_in_C3_C2_2,ec_in_C4_O2_1,ec_in_N2_C4_1,ec_in_N2_C3_2,ec_ex_C3_O1_1,ec_ex_C3_O1_2,ec_ex_C2_C2_1,ec_ex_C2_O1_1,ec_ex_C3_C1_1,ec_ex_N2_C2_1,ec_ex_C2_C1_1,ec_ex_C3_O2_1,ec_ex_O2_C1_1,ec_ex_C2_C4_1,ec_ex_C4_O1_1,ec_ex_C4_C1_1,ec_ex_N3_C1_1,ec_ex_C2_N3_1,ec_ex_N3_C2_1,ec_ex_C3_C2_1,ec_ex_C3_C3_1,ec_ex_C3_N1_1,ec_ex_C2_N1_1,ec_ex_N2_C3_1,ec_ex_C2_C3_1,ec_ex_C2_O2_1,ec_ex_O2_C2_1,ec_ex_C4_C2_1,ec_ex_C3_N2_2,ec_ex_N2_O1_1,ec_ex_C2_C1_2,ec_ex_C3_C4_1,ec_ex_C3_N2_1,ec_ex_N2_C1_1,ec_ex_N3_C3_1,ec_ex_C3_N1_2,ec_ex_C3_N3_1,ec_ex_O2_C3_1,ec_ex_C2_O1_2,ec_ex_C4_O2_1,ec_ex_N2_C4_1,ec_ex_C2_C1_3,ec_ex_C2_N2_1,ec_ex_O2_C4_1,ec_ex_N2_C3_2,ec_ex_C2_C2_2,ec_ex_C2_N1_3,ec_ex_C4_N1_1,ec_ex_C4_C3_1,nsH
69,22,15,4,1,125.455,0,9,6,0,3,3,1,0,6,0,0,0,0,0,5,5,1,4,0,0,0,3,3,0,0,0,0,1,0,2,0,3,0,0,0,1,4,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
71,12,6,3,1,128.333,0,2,4,0,4,2,0,0,2,0,0,0,2,0,3,2,1,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
72,14,6,4,1,130,0,2,4,0,4,4,0,0,2,0,0,0,1,0,3,2,1,0,0,0,2,3,2,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
73,20,9,5,1,130,0,4,5,0,6,3,1,1,1,0,0,0,2,0,4,3,1,0,0,1,2,1,4,1,1,1,1,0,0,2,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
74,12,6,2,0,128.333,0,2,4,0,5,0,1,0,2,0,0,0,1,0,3,2,1,0,0,0,2,0,3,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
75,13,10,2,0,127.692,0,6,4,0,2,1,0,0,2,0,0,0,0,0,3,4,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,2,0,2,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
77,10,6,2,0,130,0,3,3,0,3,1,0,0,3,0,0,0,0,0,3,2,0,1,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
78,17,10,3,1,127.059,0,6,4,0,4,1,2,0,5,0,0,0,1,0,4,6,0,0,0,0,2,0,2,2,0,1,0,0,0,0,1,6,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
79,13,11,1,0,129.231,0,7,4,0,2,0,0,0,5,0,0,0,0,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,1,1,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
80,15,6,6,1,129.333,0,2,4,0,4,5,0,0,2,0,0,0,1,0,3,2,1,0,0,0,2,4,2,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
83,12,6,3,1,128.333,0,2,4,0,4,2,0,0,2,0,0,0,1,0,3,2,1,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
85,23,10,6,2,130.435,0,6,4,0,6,3,4,0,4,0,0,0,3,0,4,4,0,1,0,1,3,1,2,4,2,0,0,0,1,1,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
86,33,24,4,1,127.879,0,17,7,0,5,2,2,0,0,0,0,0,3,0,5,16,2,0,0,1,3,1,0,2,1,0,0,0,2,1,0,8,0,3,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
87,17,6,5,2,130.588,0,2,4,0,5,5,1,0,2,0,0,0,1,0,3,2,1,0,0,0,2,3,3,1,0,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
88,22,18,2,0,126.364,0,8,9,1,3,1,0,0,4,0,0,0,0,0,8,7,1,0,1,1,1,0,2,0,0,1,0,0,0,3,2,6,2,1,1,0,0,1,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
90,13,9,3,1,127.692,0,5,4,0,2,2,0,0,4,0,0,0,0,0,3,4,1,1,0,0,1,2,0,0,0,0,0,0,1,0,1,4,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
91,33,6,15,2,132.121,0,4,2,0,10,9,8,0,3,0,0,0,6,0,2,4,0,0,0,0,7,5,1,8,4,0,0,0,2,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,2,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
93,28,16,6,1,127.857,0,10,5,1,5,5,2,0,3,0,0,0,2,0,5,9,0,1,1,0,3,3,2,2,0,2,0,0,0,2,0,4,1,0,0,0,2,4,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
1004,21,16,3,1,126.667,0,10,6,0,3,1,1,0,7,0,0,0,2,0,5,10,1,0,0,0,3,1,0,1,0,0,0,0,0,3,1,3,4,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1005,25,19,3,1,127.2,0,12,7,0,4,1,1,0,8,0,0,0,3,0,6,12,1,0,0,0,4,1,0,1,0,0,0,0,0,4,0,3,4,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1006,27,19,3,1,128.148,0,11,8,0,5,2,1,0,8,0,0,0,3,0,7,11,1,0,0,0,4,1,1,1,0,1,0,0,0,4,0,4,3,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1007,29,19,3,1,128.966,0,10,9,0,6,3,1,0,8,0,0,0,3,0,8,10,1,0,0,0,4,1,2,1,0,2,0,0,0,4,0,5,2,1,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1008,19,12,3,1,129.474,0,7,5,0,4,2,1,0,5,0,0,0,2,0,4,7,1,0,0,0,3,1,1,1,0,1,0,0,0,2,0,2,2,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1009,17,11,2,0,125.882,0,5,6,0,5,0,1,0,4,0,0,0,1,0,4,5,2,0,0,0,1,0,4,0,0,0,0,1,0,1,1,1,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
101,39,30,4,1,125.641,0,18,12,0,6,1,2,0,9,0,0,0,2,0,9,18,3,0,0,0,4,1,2,2,0,0,0,0,0,2,1,11,4,5,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
1011,17,12,3,1,128.235,0,8,4,0,3,1,1,0,5,0,0,0,2,0,4,7,0,1,0,0,3,1,0,1,0,0,0,0,0,2,0,1,2,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1012,17,12,3,1,128.235,0,8,4,0,3,1,1,0,5,0,0,0,2,0,3,8,1,0,0,0,3,1,0,1,0,0,0,0,0,2,0,2,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1013,60,38,3,3,128,0,18,15,5,12,7,3,0,8,0,0,0,4,0,12,17,3,1,5,0,6,3,6,3,0,4,0,0,0,2,3,8,3,5,3,0,2,4,2,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,56
1015,19,10,7,1,125.263,0,7,3,0,3,4,2,0,5,0,0,0,0,0,3,7,0,0,0,0,1,2,2,2,1,1,0,0,0,1,1,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1016,21,18,1,0,126.667,0,8,9,1,3,0,0,0,4,0,0,0,0,0,8,7,1,0,1,1,2,0,1,0,0,0,0,0,0,3,2,6,2,1,1,0,0,1,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1019,14,11,1,0,125.714,0,6,5,0,3,0,0,0,4,0,0,0,1,0,3,6,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,2,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
102,33,24,4,1,127.273,0,17,7,0,5,2,2,0,3,0,0,0,3,0,6,16,1,0,0,1,3,1,0,2,1,0,0,0,2,1,0,8,1,1,2,0,2,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38
1022,18,6,7,2,125.556,0,4,2,0,4,6,2,0,3,0,0,0,1,0,2,4,0,0,0,0,1,4,3,2,1,1,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
1023,10,6,2,0,130,0,4,2,0,3,0,1,0,3,0,0,0,1,0,2,4,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1024,58,28,8,1,131.034,0,8,17,3,20,9,1,0,0,0,1,0,1,0,17,3,0,0,3,5,6,4,14,0,1,4,0,1,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,3,1,0,0,6,0,1,0,2,0,2,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,76
1026,12,11,1,0,123.333,0,8,3,0,1,0,0,0,3,0,0,0,0,0,2,7,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
1030,24,18,3,1,127.5,0,8,8,2,4,2,0,0,3,0,0,0,2,0,7,7,1,0,2,1,3,2,1,0,0,0,0,0,0,2,2,5,1,1,1,0,0,2,0,0,0,0,0,0,2,3,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1031,8,5,1,0,132.5,0,2,3,0,3,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1033,34,28,2,0,126.471,0,20,8,0,5,0,1,0,9,0,0,0,3,0,8,18,0,2,0,0,4,0,0,1,0,0,0,0,1,2,0,9,6,0,0,0,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1036,30,27,1,0,124.667,0,16,11,0,3,0,0,0,7,0,0,0,1,0,9,14,2,1,0,1,1,0,2,0,0,0,0,0,0,4,1,9,3,2,2,1,3,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1038,10,6,2,0,130,0,4,2,0,3,0,1,0,3,0,0,0,1,0,2,4,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1039,26,17,3,1,127.692,0,8,6,3,7,1,1,0,2,0,0,0,3,0,6,8,0,0,3,0,5,1,2,1,0,0,0,0,0,3,0,6,1,0,0,0,1,2,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
104,19,15,2,0,129.474,0,9,6,0,3,0,1,0,4,0,0,0,2,0,5,7,1,1,0,1,2,0,0,1,0,0,0,0,1,1,1,3,2,1,2,0,0,3,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
1040,25,17,2,0,127.2,0,9,8,0,4,4,0,0,8,0,0,0,0,0,8,8,0,1,0,0,0,0,4,0,0,4,0,0,0,3,1,6,1,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1041,19,17,1,0,126.316,0,12,4,1,2,0,0,0,6,0,0,0,2,0,4,10,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,4,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1046,22,16,3,1,128.182,0,9,7,0,4,1,1,0,3,0,0,0,2,0,6,8,1,0,0,1,2,0,2,1,0,1,0,0,0,3,0,5,2,0,2,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
