CID,dg_in_1,bd_in_2,na_in_C4,na_ex_Cl1,na_ex_I1,na_ex_N3,C4_2_C4_2_1,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_N3_2_1,C4_3_C4_4_1,C4_3_N3_2_1,FC_2_C4_0_/_/_0,FC_17_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_20_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_25_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_28_C4_0_I1_1_/_1_/_0_0,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_37_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,LeafAC_Cl1_C4_1,LeafAC_I1_C4_1,LeafAC_N3_C4_1,LeafAC_O2_C4_1
5280754,1.0,0.0,0.903226,0.0,0.0,0.0,0.111111,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
5281006,0.2,0.285714,0.419355,0.0,0.0,0.333333,0.111111,0.333333,0.25,0.0,0.0,0.25,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.4
5281708,0.0,0.5,0.419355,0.0,0.0,0.0,0.111111,0.416667,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5361486,0.2,0.428571,0.354839,0.0,0.0,0.333333,0.0,0.166667,0.125,0.0,0.0,0.375,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.2
5362440,0.2,0.642857,0.967742,0.0,0.0,0.0,0.666667,0.916667,0.5,0.5,0.0,0.375,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
5370664,0.4,0.285714,0.16129,0.0,0.0,0.333333,0.111111,0.25,0.25,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
5388962,0.2,0.214286,0.451613,0.0,0.0,0.0,0.555556,0.333333,0.125,0.0,0.0,0.25,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
6419930,0.0,0.428571,0.774194,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
14208380,0.0,0.214286,0.387097,0.0,0.0,0.0,0.555556,0.25,0.125,0.5,0.166667,0.125,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24821094,0.2,0.714286,0.677419,0.0,0.0,0.333333,0.555556,0.416667,0.375,0.5,0.0,0.125,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0
40473187,0.2,0.214286,0.677419,0.0,0.0,0.0,0.333333,0.666667,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
54675776,0.0,0.357143,0.516129,0.0,0.0,0.666667,0.111111,0.25,0.125,0.0,0.833333,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,1.0
54678486,0.2,0.5,0.483871,0.0,0.0,0.0,0.444444,0.166667,0.375,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
135398658,0.2,0.5,0.483871,0.0,0.0,0.333333,0.222222,0.333333,0.375,1.0,0.0,0.875,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.4
135398739,0.0,0.214286,0.225806,0.0,0.0,0.0,0.111111,0.166667,0.0,0.5,0.0,0.375,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
135398740,0.2,0.214286,0.16129,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.4
135427209,0.4,0.642857,1.0,0.0,0.0,0.0,0.333333,0.166667,0.125,0.0,0.166667,0.25,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
